,names
0,Salvador ALLENDE GOSSENS
1,Antonio  AGUIRRE  VASQUEZ
2,"Osvaldo  RAMOS 
RIVERA"
3,Augusto  OLIVARES  BECERRA
4,Jaime  BARRIOS  MEZA
5,Daniel  ESCOBAR  CRUZ
6,Egidio Enrique HUERTA CORVALAN
7,Claudio  JIMENO  GRENDI
8,Georges  KLEIN  PIPPER
9,Eduardo  PAREDES  BARRIENTOS
10,Egidio Enrique PARIS ROA
11,Héctor  PINCHEIRA  NUÑEZ
12,Arsenio  POUPIN  OSSIEL
13,Manuel CASTRO ZAMORANO
14,Sergio  CONTRERAS
15,José FREIRE MEDINA
16,Daniel GUTIERREZ AYALA
17,Oscar LAGOS RIOS
18,Oscar MARAMBIO ARAYA
19,Juan MONTIGLIO MURUA
20,Julio MORENO PULGAR
21,Jorge ORREGO GONZALEZ
22,Oscar RAMIREZ BARRIA
23,Luis RODRIGUEZ RIQUELME
24,Jaime SOTELO OJEDA
25,Julio TAPIA MARTINEZ
26,Oscar VALLADARES CAROCA
27,Juan VARGAS CONTRERAS
28,Domingo BLANCO TARRES
29,Carlos Alfonso CRUZ ZAVALA
30,Gonzalo  JORQUERA  LEYTON
31,Enrique ROPERT CONTRERAS
32,Francisco LARA RUIZ
33,Wagner  Herid  SALINAS  MUÑOZ
34,"Manuel OJEDA 
DISSELKOEN"
35,"Jorge Claudio 
ARAVENA  MARDONES"
36,Guillermo Jesús ARENAS DIAZ
37,José Agustín FARFAN VERDUGO
38,"Emperatriz  del  Tránsito 
VILLAGRA"
39,"Hugo  Fernando  SANDOVAL 
IBAÑEZ"
40,Luis Antonio ROJAS ROJAS
41,"Iván  Octavio  MIRANDA 
SEPULVEDA"
42,Francisco  CATTANI  ORTEGA
43,"Mercedes  del  Pilar  CORREDERO 
REYES"
44,Benito TORRES TORRES
45,Juan Manuel LIRA MORALES
46,"Alberto  Mariano  FONTELA 
ALONSO"
47,"Tulio  Roberto  QUINTILIANO 
CARDOZO"
48,Sonia  Isaura NORAMBUENA CRUZ
49,"Adriana de las Mercedes 
DOTE MENDEZ"
50,Arturo  Ramón  SAN  MARTIN SUTHERLAND
51,Tito Guillermo KUNZE DURAN
52,Enrique  Antonio  MAZA  CARVAJAL
53,"Luis Alejandro 
RETAMAL PARRA"
54,"Drago  Vinko  GOJANOVIC 
ARIAS"
55,"Hugo ARAYA 
GONZALEZ"
56,"Sergio  AEDO 
GUERRERO"
57,Julio Antonio MARTINEZ LARA
58,Luis  Alberto MARCHANT MARCHANT
59,Cristina del Carmen LOPEZ ESTAY
60,"Ernesto  TRAUBMANN 
RIEGELHAUPT"
61,Enrique Ernesto MORALES MELZER
62,Jorge  GUTIERREZ  SAN  MARTIN
63,Fernando Sofanor FLORES ACEVEDO
64,Sócrates PONCE PACHECO
65,Gregorio  MIMICA  ARGOTE
66,Hernán CEA FIGUEROA
67,Víctor Lidio JARA MARTINEZ
68,Littré  QUIROGA  CARVAJAL
69,"Eduardo Alejandro Alberto CAMPOS 
BARRA"
70,Jaime Alejandro ALCAZAR AGUILA
71,"Ramón 
Augusto MUÑOZ MIRANDA"
72,"Carlos  Alberto  BUSTAMANTE 
MANCILLA"
73,Angel Gabriel MOYA ROJAS
74,Luis Alejandro LARGO VERA
75,Luis  Alfredo  ROJAS  GONZALEZ
76,Eduardo LEIVA ADASME
77,José  Eusebio  RODRIGUEZ HERNANDEZ
78,Guillermo del Carmen BUSTAMANTE SOTELO
79,Juan de Dios SALINAS SALINAS
80,Carlos Alberto CASTRO LOPEZ
81,Serafín  del  Carmen  ORELLANA  ROJAS
82,"Blanca Marina de la Luz CARRASCO 
PEÑA"
83,Guillermo  INOSTROZA  FLORES
84,Juan Fernando VASQUEZ RIVEROS
85,Humberto  Antonio  VALENZUELA OLEA
86,Julio  Enrique  REYES  ESPINOZA
87,Enrique Antonio SAAVEDRA GONZALEZ
88,Ramiro Carlos GONZALEZ GONZALEZ
89,"Gabriel  Augusto  MARFULL 
GONZALEZ"
90,"Nelson  Ricardo  ORELLANA 
TAPIA"
91,Pablo Ramón ARANDA SCHMIED
92,Lucio  José  BAGUS  VALENZUELA
93,Manuel  BRICEÑO  BRICEÑO
94,Raúl Francisco GONZALEZ MORAN
95,Juan ALSINA HURTOS
96,Manuel  Jesús  IBAÑEZ  GARCIA
97,Jorge Rolando CACERES GATICA
98,"Gladys  del  Tránsito  BALBOA 
CISTERNAS"
99,Sergio  ANABALON  VERGARA
100,"Walter  Carlos  SCHNEVER 
XUBERO"
101,"Luis  Eduardo  SAAVEDRA 
GONZALEZ"
102,"Vicente  Patricio  CLEMENT 
HECHENLEITNER"
103,Segundo Nicolás GARATE TORRES
104,Jorge Gustavo GOMEZ RETAMALES
105,Justo  Joaquín  MENDOZA  SANTIBAÑEZ
106,Gastón  Raimundo  MANZO  SANTIBAÑEZ
107,Jorge Manuel TORO TORO
108,Juan Bautista CERDA LUCERO
109,Gustavo Edmundo SOTO PEREDO
110,Osvaldo  Alfonso  TORRES  ALBORNOZ
111,Hernán Rafael SEPULVEDA BRAVO
112,Juan Manuel SEPULVEDA BRAVO
113,Ricardo del Carmen SEPULVEDA BRAVO
114,"Víctor 
Galvarino  SILVA  LOPEZ"
115,Jorge  Enrique  DIAZ  LOPEZ
116,Augusto  Andino  ALCAYAGA  ALDUNATE
117,José  Rosa  DEVIA  DEVIA
118,Juan  Dagoberto  FERNANDEZ  CUEVAS
119,Miguel Alberto FERNANDEZ CUEVAS
120,José MALDONADO FUENTES
121,Luis Alberto LOBOS CAÑAS
122,"Juan  Segundo  UTRERAS 
BELTRAN"
123,Paulino  Ernesto  ORDENES  SIMON
124,Juan Miguel ORDENES SIMON
125,Victor  Joaquín  MALDONADO GATICA
126,Jorge AVILA  PIZARRO
127,Luis Humberto MIÑO SALINAS
128,"Manuel  Beltrán  CANTU 
SALAZAR"
129,José  Fernando  TORRES  ARENAS
130,"Charles  Edmund  HORMAN 
LAZAR"
131,Frank  Randall  TERUGGI  BOMBATCH
132,Leopoldo Raúl BENITEZ HERRERA
133,Humberto PICARTE PATIÑO
134,Ernesto Carlos BRIZUELAS PONTIGO
135,"Sergio  Orlando  PERALTA 
MARTINEZ"
136,Jorge Rodrigo MUÑOZ MELLA
137,José Andrés GARCIA LAZO
138,José  Gregorio  HERNANDEZ  ANDRADE
139,Roberto  Darío  HERNANDEZ  ANDRADE
140,Luis Hilario HERMOSILLA MUÑOZ
141,José Fernando TORRES ARENAS
142,"Segundo  Enrique  THOMES 
PALAVECINOS"
143,Ramón Luis ESCOBAR CHAVARRIA
144,Alvaro Agustín SALCE ASCORRA
145,Mario Armando CANEDO ROJAS
146,"Luis  Gilberto 
MATAMALA  VENEGAS"
147,Ernesto  VASQUEZ  GODOY
148,Guillermo Osvaldo VALLEJO FERDINAND
149,Miguel  Hernán  ARANCIBIA  CASTILLO
150,"Jorge  Carlos  Romualdo  RUZ 
ZUÑIGA"
151,Ricardo Octavio LOPEZ ELGUEDA
152,Héctor  Orlando  VICENCIO  GONZALEZ
153,Simón Eladio SANCHEZ PEREZ
154,Luis  Osvaldo  SILVA
155,Juan Carlos DIAZ FIERRO
156,"Vicente Ramón BLANCO 
UBILLA"
157,"José  Rafael  MUÑOZ 
CONTRERAS"
158,Rafael ARCE JEREZ
159,Pedro Armando MENA SEPULVEDA
160,"Carlos  Antonio  GUZMAN 
ALTAMIRANO"
161,Luis Alfredo DIAZ JERIA
162,"Patricio  Enrique  MANRIQUEZ 
NORAMBUENA"
163,Antonio Artemio TAMAYO REYES
164,Luis Alberto ORTEGA FERNANDEZ
165,Luis Porfirio ALZAMORA GONZALEZ
166,Luis Sergio MENDEZ ORTEGA
167,Alamiro Segundo GONZALEZ SAAVEDRA
168,Manuel José GONZALEZ ALLENDE
169,Simón Cirineo ALLENDE FUENZALIDA
170,Nelson Gonzalo DURAN CASTILLO
171,Juan  Guillermo  ARREDONDO  GONZALEZ
172,Juan Humberto Alberto ORELLANA ALARCON
173,José Gabriel MOLINA GUERRERO
174,Jaime Iván MENESES CISTERNAS
175,Miguel Segundo ORELLANA BARRERA
176,Jorge Bernardino PINTO ESQUIVEL
177,Nardo del Carmen SEPULVEDA MANCILLA
178,José Alfredo VIDAL MOLINA
179,Ramón Osvaldo JARA ESPINOZA
180,Enrique  Segundo  MONTERO MONTERO
181,Ofelia  Rebeca  VILLARROEL  LATIN
182,Donato QUISPE CHOQUE
183,Adrián  del  Carmen  SEPULVEDA  FARIAS
184,Fernando Isidro VERA ORTEGA
185,"Carlos Enrique Mario 
NICHOLLS RIVERA"
186,Roberto  Hernán  CACERES  SANTIBAÑEZ
187,"Arnoldo  CAMU 
VELOSO"
188,Jorge  Alberto  VERGARA  UMAÑA
189,Oscar Antonio LOBOS URBINA
190,Amado de Jesús RIOS PRADENA
191,Manuel Jesús ARANCIBIA ARANCIBIA
192,"Freddy Flavio 
MOLINA RODRIGUEZ"
193,Juan Arturo CERON BARROS
194,"Juan  Patricio  PALMA 
RODRIGUEZ"
195,"Ramón  Bernardo  BELTRAN 
SANDOVAL"
196,Julio  CHACON  HORMAZABAL
197,Mario PARRA GUZMAN
198,Luis Ricardo HERRERA GONZALEZ
199,Omar Enrique BALBOA TRONCOSO
200,Patricio Humberto PARRA QUINTANILLA
201,"Raúl 
Antonio MUÑOZ MUÑOZ"
202,Luis  Alberto  VALDIVIA CONTRERAS
203,Nelson Miguel SANCHEZ ROJO
204,Mario Ramiro MELO PRADENAS
205,Víctor BARRALES GONZALEZ
206,Sergio  Osvaldo  DE  LA  BARRA  DE  LA  BARRA
207,Raúl Eliseo MOSCOSO QUIROZ
208,Mario  SALAS  RIQUELME
209,José Eusebio VILLAVICENCIO MEDEL
210,Luis  Sergio  GUTIERREZ  RIVAS
211,Carlos Emilio DONOSO AVILA
212,Jorge Humberto NUÑEZ CANELO
213,Romelio Antonio VASQUEZ GUAJARDO
214,José Sergio MUÑOZ GONZALEZ
215,Jorge Eduardo Cristián OYARZUN ESCOBAR
216,Juan ESCOBAR CAMUS
217,"Mario  Emiliano  STAPPUNG 
LOPEZ"
218,"Carlos 
Ramón REYES AVILA"
219,Raúl René FUENTES VERA
220,Gilberto  ESTAY  ESTAY
221,Julio Alberto MUÑOZ TORRES
222,Miguel Angel RIOS TRASLAVIÑA
223,Rogelio Gustavo RAMIREZ AMESTICA
224,Marcos Orlando RIOS BUSTOS
225,"Luis 
Humberto MUÑOZ AGUAYO"
226,Mauricio Segundo CAYUAN CANIUQUEO
227,Carlos Humberto GARRIDO OCAREZ
228,Nelson  Jorge  FLORES  ZAPATA
229,"León  Eduardo 
CELEDON LAVIN"
230,Sergio FUENTES SILVA
231,Hugo  Manuel  ROJAS  CORTES
232,Juan Enrique RODRIGUEZ AQUEVEQUE
233,Florentino Aurelio RODRIGUEZ AQUEVEQUE
234,Gustavo CANTUARIAS GRANDON
235,Rafael  Antonio  MADRID  GALVEZ
236,Exequiel  Segundo  CONTRERAS  CARRASCO
237,Carlos  Leonardo  IBARRA  ECHEVERRIA
238,José Elías QUEZADA NUÑEZ
239,Alberto  Toribio  SOTO  VALDES
240,Isaías  Rodolfo  CANALES  VENEGAS
241,"Edmundo  Alejandro 
MAUREIRA MIRANDA"
242,Manuel Fernando CANTO GUTIERREZ
243,Sergio  Fernando  FERNANDEZ  PAVEZ
244,Luis Eduardo ROJAS GERALDO
245,Miguel Angel SANTIBAÑEZ DURAN
246,"Jorge  Ernesto  CARRION 
CASTRO"
247,Fernando  de  la  Cruz  OLIVARES  MORI
248,"Héctor  Andrés 
QUEGLAS MATURANA"
249,Luis Eduardo MORALES MUÑOZ
250,Oscar  Jesús DELGADO MARIN
251,Dagoberto YAÑEZ YAÑEZ
252, Vicente del Carmen VIDAL PAREDES
253,"Eduardo 
Emilio TORO VELEZ"
254,Eduardo  Santos  QUINTEROS  MIRANDA
255,Abelardo  Jesús  QUINTEROS  MIRANDA
256,Raúl  Buridán  SAN  MARTIN  BARRERA
257,Celedonio  SEPULVEDA  LABRA
258,Jaime Benjamín VIDELA OVALLE
259,Luis  Alberto  SANCHEZ  MEJIAS
260,Manuel  Antonio  VALENCIA  NORAMBUENA
261,"Francisco  SAEZ 
VALENZUELA"
262,Jorge Segundo PEREZ UBEDA
263,Luis Enrique OTTS FLORES
264,"Jorge  
ESPINOZA FARIAS"
265,Zacarías  Enrique  PARDO  GONZALEZ
266,Víctor Fernando RAMIREZ ORTIZ
267,Ernesto Antonio YEVENES APABLAZA
268,Héctor Juan MALVINO CAMPOS
269,"Samuel  Eduardo 
MATURANA  VALDERRAMA"
270,Víctor  Segundo  BENITEZ  ORTEGA
271,Nelson Mario TORRES GONZALEZ
272,Víctor Moisés CASTILLO ALEGRIA
273,José
274,Sergio ALEGRIA HIGUERA
275,Francisco  MIRANDA  MIRANDA
276,Luis Alberto MARTINEZ HORMAZABAL
277,Carlos Helen SALAZAR CONTRERAS
278,"Julio  César  FERNANDEZ 
FERNANDEZ"
279,Raúl Fernando SANTIS URRIOLA
280,Joaquín Segundo MONTECINOS ROJAS
281,Eduardo Elías CERDA ANGEL
282,Oscar Roberto LUCERO ALDANA
283,"Francisco  Arnaldo  ZUÑIGA 
AGUILERA"
284,"Waldemar  Segundo  MONSALVEZ 
TOLEDO"
285,Teobaldo  René  SALAZAR  LEAL
286,Floridor de Jesús FLORES CAROCA
287,Carlos Patricio FARIÑA OYARCE
288,Héctor Eugenio ARAYA GARRIDO
289,Víctor  Iván  VIDAL  TEJEDA
290,Alfredo Andrés MORENO MENA
291,Luis Miguel RODRIGUEZ ARANCIBIA
292,Luis Alberto VERDEJO CONTRERAS
293,Elizabeth LEONIDAS CONTRERAS
294,Jaime Max BASTIAS MARTINEZ
295,Luis SUAZO SUAZO
296,Domingo de la Cruz MORALES DIAZ
297,Luis Esteban TORO VELOSO
298,Segundo Hernán Antonio MUÑOZ ROJAS
299,Segundo del Carmen LIRA BRAVO
300,Manuel Segundo TAQUIAS VERGARA
301,Sergio Manuel CASTRO SAAVEDRA
302,Luis VERGARA GONZALEZ
303,Hernán PEÑA CATALAN
304,"Domingo  Manuel  MEDINA 
RIQUELME"
305,Wannio  José  DE  MATTOS  SANTOS
306,Mario Armando GHO ALARCON
307,Juan Angel GALLEGOS
308,Luis Enrique PEREZ BALBONTIN
309,José Daniel HERNANDEZ ORREGO
310,Juan  Carlos  AMPUERO  GOMEZ
311,Jaime JIMENEZ JIMENEZ
312,Pedro  Hugo  PEREZ  GODOY
313,Carlos  Rodolfo  ADLER  ZULUETA
314,Beatriz  Elena  DIAZ  AGUERO
315,Víctor Alejandro GARRETON ROMERO
316,Ricardo  Cristián  MONTECINOS  SLAUGHTER
317,Julio Andrés SAA PIZARRO
318,Jorge  Miguel  SALAS  PARADISI
319,Néstor  GONZALEZ  RAMOS
320,José Miguel VALLE PEREZ
321,José Miguel MUÑOZ BIZAMA
